Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Business,Entrepreneur,3.47,4,1,3,0,3,0,3,10,0,4,1,3,4,1
Music,Music Teacher,3.84,5,0,0,1,5,1,3,4,4,3,4,1,1,1
Medicine,Dentist,3.6340695100477567,1,0,3,1,8,1,1,1,4,2,2,2,1,0
Biology,Biologist,3.06,4,0,0,0,8,0,1,2,1,2,0,0,0,0
Art,Animator,2.19,6,1,5,0,4,0,3,3,0,0,0,2,1,0
Medicine,Pharmacist,3.8098497200997077,3,1,4,1,4,1,4,2,4,0,1,4,1,0
Architecture,Interior Designer,2.3,6,2,0,1,0,1,2,4,1,2,2,4,2,1
Biology,Biologist,2.55,7,0,4,0,0,0,4,0,4,1,3,1,0,0
Engineering,Acoustics Specialist,2.43,5,0,2,0,9,1,4,1,8,1,10,0,3,1
Psychology,Psychologist,2.59,4,0,3,1,8,1,1,3,2,3,0,3,0,0
Law,Judge,2.66,5,0,1,1,7,0,0,9,0,2,3,1,1,0
Architecture,Urban Planner,2.09,5,1,1,1,0,1,2,1,3,0,3,4,0,0
Law,Judge,2.28,3,0,4,1,4,0,3,10,0,2,0,4,2,0
Chemistry,Physical Chemist,2.34,7,0,2,1,3,0,3,2,2,0,1,2,2,0
Engineering,Mechanical Engineer,2.88,6,1,1,0,6,0,2,0,10,4,8,3,3,1
Biology,Ecologist,2.12,2,1,0,0,8,1,4,0,0,0,2,2,0,0
Architecture,Architect,3.85,4,2,2,1,8,1,0,2,2,4,2,3,0,1
Biology,Biotechnologist,2.06,4,1,4,0,3,1,2,2,3,1,2,3,1,1
Chemistry,Organic Chemist,3.42,0,1,1,1,7,1,1,2,0,1,3,0,3,0
Finance,Financial Controller,2.11,6,1,2,1,2,1,0,2,2,1,8,0,1,0
Architecture,Architectural Technologist,3.48,5,1,0,0,5,0,3,4,4,2,3,2,3,0
Finance,Investment Banker,3.59,0,0,0,1,8,0,3,1,4,2,9,0,3,1
Law,Legal Consultant,2.73,3,2,4,0,8,0,3,7,4,0,1,2,2,0
Business,Construction Manager,2.79,2,2,2,1,6,1,4,7,4,1,4,2,1,1
Education,Education Administrator,3.91,3,1,2,1,0,1,1,1,0,3,2,4,1,1
Architecture,Interior Designer,3.19,9,0,2,0,6,1,0,3,1,1,1,1,1,0
Chemistry,Chemist,2.25,4,2,1,0,3,1,1,2,0,0,1,1,4,1
Finance,Financial Controller,2.42,7,2,1,0,7,1,0,0,0,0,10,2,3,1
Finance,Actuary,2.28,5,0,1,0,1,0,1,4,1,1,7,2,0,1
Chemistry,Physical Chemist,3.76,3,1,0,1,2,1,3,4,0,2,3,2,4,0
Law,Lawyer,2.48,6,2,2,1,3,0,3,7,0,4,1,4,4,0
Medicine,Doctor,3.8600040198315564,0,2,4,0,3,0,1,0,2,3,3,1,0,1
Finance,Credit Analyst,2.32,4,1,0,0,9,1,2,4,2,0,8,3,1,1
Music,Conductor,3.35,10,2,4,0,8,0,4,2,2,1,2,4,0,0
Music,Conductor,2.17,5,2,1,0,5,0,0,4,2,3,0,4,2,1
Business,Construction Manager,2.81,0,2,2,1,5,1,3,7,0,0,2,4,0,1
Business,Manager,2.11,4,2,3,1,3,0,1,8,0,1,4,3,2,1
Art,Illustrator,2.09,7,1,4,0,1,0,2,3,2,0,0,2,2,1
Marketing,Brand Manager,2.47,7,1,3,0,2,0,2,7,3,2,2,4,1,1
Law,Legal Secretary,3.29,9,0,1,0,9,0,0,7,2,0,3,0,4,0
Finance,Accountant,3.43,7,1,2,0,2,1,0,0,2,4,8,4,4,1
Marketing,Marketing Specialist,3.41,4,2,2,1,2,1,0,8,4,3,1,2,0,0
Engineering,Aerospace Engineer,2.38,6,1,1,1,2,1,2,4,7,1,8,0,3,0
Business,Entrepreneur,3.41,8,1,2,0,3,1,3,7,3,1,2,2,1,1
Computer Science,Game Developer,3.12,7,2,2,0,2,0,8,1,3,3,0,1,1,1
Chemistry,Chemist,2.52,5,1,1,1,9,0,0,0,1,3,2,1,2,1
Biology,Microbiologist,3.55,4,1,0,1,4,1,0,0,4,3,0,1,1,1
Architecture,Urban Planner,3.05,8,0,3,1,0,0,2,4,3,1,2,4,2,1
Engineering,Mechanical Engineer,2.12,4,1,4,0,6,0,2,0,10,0,10,2,2,0
Art,Artist,3.01,5,2,3,0,8,0,1,4,2,0,3,1,3,0
Business,Human Resources Specialist,2.49,7,0,2,1,2,1,2,8,2,1,1,3,1,0
Business,Construction Manager,3.99,5,2,2,1,7,1,4,10,3,2,2,0,3,0
Psychology,Industrial-Organizational Psychologist,2.82,6,1,2,0,2,0,3,0,1,4,3,1,3,1
Chemistry,Inorganic Chemist,2.45,4,0,3,0,5,1,3,1,0,1,4,0,4,0
Psychology,School Psychologist,2.28,3,2,1,0,4,0,4,1,2,2,1,4,4,1
Engineering,Fluid Mechanics Engineer,3.27,6,0,3,0,5,0,3,3,9,4,9,1,1,1
Business,Manager,2.2,4,1,1,1,4,0,0,10,2,1,2,1,3,1
Music,Sound Engineer,3.02,8,0,4,1,9,1,1,2,4,2,0,2,1,0
Biology,Microbiologist,3.15,1,2,2,0,2,1,0,1,3,1,4,2,0,0
Business,Human Resources Specialist,2.19,0,1,0,1,4,0,0,10,1,0,2,3,3,1
Engineering,Aerospace Engineer,3.91,6,2,3,1,3,0,0,3,8,4,10,3,4,1
Computer Science,Game Developer,3.57,6,2,3,1,3,0,9,0,3,1,4,1,2,0
Finance,Financial Advisor,2.64,2,1,0,0,4,0,4,0,3,3,10,4,2,0
Art,Illustrator,2.56,1,0,4,1,4,0,4,4,3,1,0,3,3,0
Computer Science,Data Scientist,2.25,6,0,2,1,5,1,7,0,0,0,4,2,2,1
Computer Science,Software Developer,2.66,6,2,0,1,8,0,10,2,3,2,3,3,0,0
Art,Graphic Designer,3.32,5,2,4,1,0,0,4,3,1,0,2,4,0,0
Law,Lawyer,2.92,8,1,0,1,8,1,3,9,1,2,4,0,1,0
Architecture,Urban Planner,3.93,2,1,0,1,8,1,3,1,4,0,2,4,0,0
Physics,Physicist,3.21,9,1,3,1,4,0,0,4,4,3,0,1,3,1
Chemistry,Analytical Chemist,2.85,7,2,2,1,3,1,0,3,3,2,4,0,4,1
Medicine,Pharmacist,3.769350898976357,1,1,2,1,1,1,3,1,1,1,0,0,4,1
Art,Illustrator,3.33,1,1,5,0,3,1,1,0,0,2,4,3,3,1
Architecture,Landscape Architect,3.04,6,2,0,1,8,0,3,3,2,1,4,0,4,0
Chemistry,Chemist,3.45,6,1,0,1,8,1,3,3,1,1,4,3,4,1
Physics,Nuclear Physicist,2.54,1,1,4,0,5,0,3,3,3,4,4,3,2,0
Education,Principal,3.78,3,1,0,1,9,0,4,1,0,1,0,2,0,0
Marketing,Brand Manager,2.34,6,1,1,1,5,0,4,9,0,3,1,4,4,0
Biology,Biotechnologist,3.37,7,2,0,1,5,1,3,4,4,1,4,2,0,1
Education,Education Administrator,2.38,4,1,2,1,4,1,3,4,0,3,3,1,4,0
Finance,Investment Banker,2.05,8,1,3,0,7,0,4,3,2,4,10,1,1,1
Art,Illustrator,3.13,3,2,4,0,4,1,4,1,0,0,1,4,1,1
Medicine,Pharmacist,3.8964272095169195,3,0,4,1,1,0,2,2,4,4,4,0,2,0
Medicine,Pharmacist,3.638220845291698,5,0,4,1,1,0,4,0,3,2,0,0,0,0
Medicine,Surgeon,3.6979852363312276,9,0,1,0,2,1,3,3,2,3,3,3,2,1
Music,Music Teacher,3.08,6,1,0,0,1,1,1,4,1,1,1,3,2,0
Music,Musician,2.4,8,0,3,1,6,1,3,2,2,2,4,0,1,1
Art,Illustrator,3.77,7,2,4,1,5,0,0,1,3,3,1,2,3,0
Computer Science,Data Scientist,3.71,8,1,0,0,6,1,7,1,1,3,1,1,4,0
Law,Judge,3.18,1,1,1,0,6,0,3,9,0,2,3,0,2,0
Chemistry,Organic Chemist,3.63,3,0,0,1,8,0,1,0,1,4,2,1,0,1
Psychology,Industrial-Organizational Psychologist,2.57,9,1,4,0,0,1,4,3,0,4,2,1,3,0
Biology,Ecologist,3.74,0,1,1,0,2,0,2,1,4,2,3,3,0,1
Marketing,Marketing Manager,3.18,2,0,2,0,4,0,0,10,0,3,2,2,0,0
Education,Teacher,2.75,9,2,2,0,2,1,1,3,3,4,0,3,4,1
Music,Sound Engineer,3.61,8,0,1,1,4,0,1,3,3,1,3,3,3,0
Chemistry,Analytical Chemist,2.62,1,2,1,1,6,1,3,3,3,1,0,2,3,1
Art,Animator,3.86,3,2,4,1,0,0,1,2,1,2,3,2,4,0
Law,Legal Secretary,2.24,4,2,3,1,2,0,0,8,3,4,0,0,2,0
Medicine,Physician Assistant,3.928436968037547,4,1,1,1,7,1,1,1,2,2,4,3,4,1
Engineering,Civil Engineer,2.33,3,1,3,0,3,1,0,2,9,4,10,4,4,1
Biology,Ecologist,3.78,3,1,4,0,8,0,0,1,4,4,2,1,3,0
Art,Art Director,3.06,6,1,5,0,1,1,1,1,3,1,2,3,3,1
Biology,Biotechnologist,2.12,5,2,0,0,7,0,1,4,2,2,2,0,4,1
Computer Science,Game Developer,3.86,6,0,0,0,9,0,7,3,3,2,4,4,4,1
Medicine,Physician Assistant,3.8173356366269706,3,0,2,1,7,1,0,2,4,0,3,1,4,1
Chemistry,Inorganic Chemist,2.01,7,2,2,0,8,1,2,0,3,3,4,1,4,1
Chemistry,Inorganic Chemist,2.44,2,1,3,1,7,0,3,1,3,0,4,2,0,0
Medicine,Physician Assistant,3.989891228927261,2,1,2,1,2,1,1,1,2,4,2,0,1,0
Art,Artist,2.76,9,2,5,0,9,1,2,1,3,3,0,1,1,0
Business,Construction Manager,3.67,1,0,2,0,4,1,2,9,4,4,4,1,1,0
Law,Legal Analyst,2.43,1,0,4,0,9,0,0,7,2,0,3,0,0,0
Architecture,Interior Designer,3.26,9,1,4,0,5,1,1,1,2,2,4,2,0,0
Education,Teacher,2.39,0,0,0,0,1,1,2,1,0,4,4,1,4,1
Art,Illustrator,2.02,0,2,3,0,3,0,4,3,3,4,2,2,1,0
Psychology,Clinical Psychologist,2.82,4,0,3,1,3,0,2,1,3,0,4,1,2,1
Biology,Microbiologist,3.78,6,0,1,1,8,1,0,3,1,2,3,2,4,0
Computer Science,Cybersecurity Analyst,3.1,7,1,1,1,8,0,8,3,1,2,2,3,1,1
Architecture,Architectural Technologist,3.81,6,2,4,1,4,1,2,4,1,4,4,1,4,1
Chemistry,Analytical Chemist,2.74,6,1,2,0,5,1,0,3,0,0,4,0,4,1
Business,Manager,3.29,5,1,4,1,5,0,1,10,3,2,3,3,0,0
Finance,Financial Controller,3.73,2,2,4,0,9,0,4,3,0,0,7,3,1,0
Education,Special Education Teacher,2.85,7,2,1,0,8,1,2,1,0,2,2,3,3,0
Computer Science,AI Researcher,2.41,5,0,2,1,1,0,8,4,2,2,2,3,3,0
Medicine,Physician Assistant,3.8551213993116558,9,0,0,1,5,1,1,4,4,3,1,3,3,0
Marketing,Market Research Analyst,2.4,0,1,1,0,6,1,0,7,0,2,0,2,3,0
Psychology,Counselor,2.77,4,1,0,1,8,0,0,0,4,1,2,1,1,1
Physics,Nuclear Physicist,2.61,9,0,1,0,0,0,4,0,3,4,3,1,4,1
Medicine,Pharmacist,3.729632598586607,9,0,0,0,7,0,0,0,4,3,1,3,3,1
Engineering,Acoustics Specialist,2.45,7,0,3,0,3,0,1,3,8,3,10,0,4,0
Chemistry,Analytical Chemist,3.87,8,1,2,1,7,1,3,4,1,1,0,0,0,0
Chemistry,Inorganic Chemist,3.49,9,0,2,0,5,0,3,3,0,2,2,1,2,1
Computer Science,Web Developer,3.05,3,2,4,1,7,0,8,0,0,4,4,2,4,0
Business,Entrepreneur,2.41,2,2,3,1,2,1,2,10,2,0,1,2,4,1
Business,Manager,3.54,7,0,1,1,8,1,1,10,4,3,3,2,1,0
Psychology,Industrial-Organizational Psychologist,3.17,5,0,3,1,7,0,1,0,3,3,2,4,1,0
Architecture,Urban Planner,2.56,8,0,3,1,6,1,2,0,0,4,3,3,1,1
Computer Science,AI Researcher,3.44,7,0,4,0,4,0,7,4,2,3,2,2,2,0
Psychology,Art Therapist,2.27,1,2,1,0,1,1,1,2,3,2,0,0,2,0
Medicine,Nurse,3.570985994880497,5,2,4,0,1,0,3,4,2,3,2,4,1,1
Biology,Biologist,3.48,9,1,0,1,0,1,3,3,3,0,0,2,3,1
Psychology,School Psychologist,2.68,3,2,0,1,0,0,2,2,0,4,2,3,3,1
Finance,Credit Analyst,3.01,5,1,4,0,5,1,4,4,1,0,8,4,1,1
Chemistry,Organic Chemist,2.49,3,1,4,1,8,1,2,1,4,2,0,3,1,1
Business,Human Resources Specialist,3.62,2,1,3,1,6,1,0,7,3,4,1,1,3,1
Psychology,Forensic Psychologist,3.7,4,2,3,1,7,0,1,0,0,3,1,4,4,1
Computer Science,AI Researcher,3.07,1,1,2,0,5,1,7,3,4,3,4,3,2,0
Psychology,Art Therapist,2.3,3,0,2,1,9,0,2,2,1,1,3,2,1,0
Physics,Quantum Physicist,2.04,5,2,4,1,4,1,2,1,0,3,4,4,3,1
Architecture,Interior Designer,3.11,0,1,3,0,6,1,4,1,4,1,4,0,2,1
Engineering,Aerospace Engineer,2.86,0,2,3,1,4,0,1,0,9,2,9,1,0,0
Physics,Nuclear Physicist,2.22,0,2,1,1,6,1,4,4,0,4,4,0,4,1
Psychology,Psychologist,2.04,8,0,3,1,2,0,4,4,4,2,0,0,0,0
Finance,Actuary,3.01,2,0,4,0,6,1,2,4,2,2,7,1,0,0
Education,Principal,2.4,6,2,0,1,6,0,0,2,0,3,3,1,3,0
Engineering,Mechanical Engineer,2.21,1,0,1,0,8,0,0,4,10,3,9,2,0,0
Education,Special Education Teacher,2.42,0,2,0,0,6,0,4,1,4,1,2,3,0,1
Biology,Zoologist,3.33,4,2,3,1,0,0,3,3,3,2,2,1,3,0
Biology,Zoologist,2.04,9,0,2,1,0,1,4,0,2,4,3,3,3,0
Medicine,Physician Assistant,3.927868629452893,5,0,2,1,3,0,3,2,1,1,1,4,2,1
Business,Construction Manager,2.4,3,1,4,0,2,0,1,7,0,2,2,4,0,0
Music,Composer,3.22,8,0,2,1,1,1,1,3,2,3,4,2,0,0
Finance,Financial Analyst,3.08,8,2,0,1,0,0,0,0,0,3,7,1,0,0
Education,Curriculum Developer,2.31,4,0,0,0,0,0,1,1,4,2,4,0,0,1
Chemistry,Analytical Chemist,3.84,2,2,2,1,2,1,0,3,4,3,2,2,3,0
Business,Manager,2.82,7,1,3,0,4,0,3,7,3,4,1,0,3,1
Biology,Biotechnologist,2.47,6,2,3,1,0,0,4,0,0,4,2,1,3,0
Music,Musician,3.53,10,2,2,0,5,1,1,3,0,2,3,0,4,0
Education,Special Education Teacher,3.71,4,0,4,1,7,1,2,2,4,2,2,0,0,1
Psychology,Psychologist,3.94,5,2,1,1,0,1,0,0,4,0,4,0,2,0
Medicine,Surgeon,3.894223671626649,9,0,1,1,3,0,0,4,2,3,4,1,2,1
Law,Legal Analyst,2.64,4,0,4,1,2,0,3,9,1,1,1,2,2,0
Education,Principal,2.48,9,0,4,0,9,0,0,2,1,2,0,3,2,1
Medicine,Nurse,3.953597515352915,8,1,4,0,2,1,1,0,1,3,0,1,2,1
Computer Science,Data Scientist,3.77,1,2,1,0,6,0,9,4,3,3,2,3,0,0
Education,Education Administrator,2.7,3,1,4,1,9,1,2,0,1,2,3,2,2,1
Music,Composer,3.97,6,2,4,0,8,1,3,3,2,1,4,4,3,1
Biology,Ecologist,2.83,1,1,4,0,6,0,4,0,1,0,1,4,4,1
Art,Illustrator,3.13,3,0,3,1,3,1,4,4,0,3,0,1,2,1
Medicine,Physician Assistant,3.6902002744852047,5,1,4,0,7,1,2,0,0,2,3,2,1,1
Finance,Financial Advisor,2.76,4,2,0,1,3,0,1,1,0,1,9,3,0,1
Business,Entrepreneur,2.45,4,2,2,0,7,0,4,9,3,0,0,2,0,0
Computer Science,Web Developer,3.7,7,2,0,0,7,1,7,4,3,3,1,3,2,1
Finance,Accountant,2.69,1,1,2,0,1,0,4,3,3,3,10,3,0,1
Architecture,Urban Planner,2.52,1,0,2,0,4,0,4,0,1,4,3,0,0,0
Chemistry,Chemist,3.39,9,1,2,1,7,1,4,2,4,1,1,1,0,1
Music,Composer,3.88,10,2,2,0,5,0,1,0,2,0,3,1,3,0
Marketing,Brand Manager,2.0,6,0,2,1,4,0,3,9,3,3,2,3,1,1
Physics,Astronomer,2.39,8,0,2,0,9,1,0,3,3,2,4,0,2,1
Business,Human Resources Specialist,3.32,4,0,2,1,5,1,0,7,4,4,2,1,3,1
Finance,Actuary,3.51,5,0,0,0,2,0,0,1,4,0,10,0,1,1
Chemistry,Physical Chemist,3.75,0,0,3,0,2,1,4,0,0,3,1,2,4,0
Medicine,Physician Assistant,3.8633354960351616,5,2,1,0,3,1,4,2,0,1,3,1,2,0
Education,Education Administrator,3.47,9,0,3,1,2,1,2,3,2,1,2,0,1,1
Business,Construction Manager,2.1,9,0,1,0,1,0,0,9,4,4,4,4,4,0
Education,Teacher,2.75,0,1,3,1,6,0,0,4,4,1,2,3,0,1
Architecture,Landscape Architect,3.77,2,0,4,1,7,1,1,3,0,1,2,2,3,0
Biology,Geneticist,2.88,0,0,4,1,2,1,3,2,3,0,4,2,0,0
Architecture,Landscape Architect,2.7,8,2,3,1,4,1,2,2,0,1,4,0,0,0
Biology,Ecologist,2.2,7,1,0,0,8,1,1,4,3,0,4,2,3,0
Law,Legal Secretary,3.97,1,0,3,0,9,1,1,7,4,4,4,4,4,1
Education,Curriculum Developer,3.72,4,0,3,0,5,1,0,2,2,1,3,3,2,1
Physics,Quantum Physicist,2.37,3,0,0,1,8,1,4,2,3,1,0,3,1,0
Physics,Quantum Physicist,3.36,7,1,4,1,3,1,1,1,4,0,0,2,4,0
Law,Lawyer,3.16,4,1,0,0,8,0,3,8,2,0,0,2,1,1
Marketing,Marketing Manager,2.73,4,0,1,0,5,0,2,10,4,4,1,2,1,0
Marketing,Marketing Manager,2.89,9,2,1,1,7,1,0,10,1,1,0,0,3,0
Music,Musician,3.57,5,0,0,0,0,1,3,0,2,0,1,3,1,1
Physics,Astronomer,2.77,4,2,4,1,3,0,2,1,0,0,2,1,4,0
Psychology,Art Therapist,3.4,1,0,4,0,9,0,3,2,3,3,4,1,0,1
Marketing,Brand Manager,3.57,3,1,1,1,6,0,2,7,1,4,1,3,4,0
Physics,Nuclear Physicist,3.58,5,1,4,1,7,0,3,3,0,3,1,2,4,0
Art,Art Director,2.84,5,1,5,0,0,1,3,2,3,3,1,4,3,0
Chemistry,Inorganic Chemist,2.58,7,1,4,0,9,0,3,0,3,1,3,0,2,1
Chemistry,Inorganic Chemist,2.35,1,2,1,1,6,0,2,1,0,0,1,4,2,1
Physics,Quantum Physicist,3.77,6,2,1,1,8,0,4,2,2,2,0,0,1,0
Medicine,Doctor,3.833902341613203,6,2,2,0,5,0,1,4,3,2,0,1,2,1
Engineering,Aerospace Engineer,3.78,4,0,0,1,2,1,2,1,7,3,8,0,2,1
Computer Science,Game Developer,2.94,5,0,4,1,8,0,8,0,0,4,0,1,2,0
Marketing,Marketing Manager,3.98,0,1,0,1,1,1,2,10,0,2,0,0,0,1
Biology,Ecologist,2.78,2,0,1,1,2,1,2,1,2,4,0,1,0,1
Marketing,Market Research Analyst,2.06,4,2,4,0,2,0,2,9,3,0,4,1,3,0
Chemistry,Analytical Chemist,3.91,6,2,1,1,6,0,1,4,3,2,2,4,0,1
Marketing,Marketing Specialist,3.42,0,2,1,1,0,0,2,8,2,1,1,3,0,0
Computer Science,Game Developer,3.98,9,0,4,1,0,1,9,4,2,2,0,0,1,1
Education,Curriculum Developer,3.23,0,1,0,1,4,1,0,2,0,3,0,4,3,0
Medicine,Dentist,3.626153624919703,6,0,0,0,4,1,0,4,3,2,0,1,1,0
Computer Science,Game Developer,2.01,4,2,0,0,2,1,9,0,3,1,0,0,1,1
Psychology,Psychologist,2.89,6,1,4,0,3,1,1,2,1,3,2,2,2,0
Biology,Biotechnologist,2.9,5,1,0,0,5,1,2,2,4,3,1,1,1,1
Finance,Financial Controller,2.31,7,2,4,1,4,1,3,3,0,4,7,4,0,0
Biology,Biotechnologist,3.14,1,1,1,1,9,1,3,1,4,3,2,2,1,0
Business,Manager,2.74,0,2,3,0,4,0,3,10,0,0,1,0,2,0
Finance,Investment Banker,2.59,9,2,1,0,0,0,4,3,2,2,7,2,0,0
Physics,Astronomer,3.81,4,0,2,1,2,1,4,1,2,4,2,4,4,1
Biology,Biologist,2.07,1,0,1,0,1,1,4,0,2,1,3,0,1,1
Education,Curriculum Developer,3.37,8,0,2,0,8,1,0,3,1,3,0,1,3,0
Art,Illustrator,3.44,3,1,4,0,8,0,4,3,1,4,0,3,1,1
Finance,Actuary,3.51,7,2,3,1,9,0,0,3,2,4,8,2,2,0
Architecture,Architect,3.56,1,2,1,0,4,1,4,2,0,2,4,2,3,0
Business,Human Resources Specialist,2.53,6,1,1,1,1,1,2,8,3,1,4,4,2,0
Computer Science,Web Developer,3.08,8,0,0,0,2,1,7,2,2,1,1,0,1,0
Architecture,Architectural Technologist,3.92,9,2,4,0,9,0,3,2,4,4,4,2,4,0
Computer Science,Data Scientist,3.51,8,2,0,1,2,1,8,1,1,1,2,1,0,0
Computer Science,Web Developer,2.54,9,0,1,0,8,1,7,3,2,0,4,1,3,1
Physics,Physicist,3.21,9,0,4,0,3,0,3,1,2,0,2,0,2,0
Marketing,Brand Manager,3.4,9,0,2,1,4,0,2,10,3,0,3,1,3,1
Computer Science,Web Developer,2.15,4,1,1,1,0,1,10,4,2,3,3,1,3,1
Physics,Quantum Physicist,2.24,5,0,3,1,9,0,0,2,0,4,4,1,4,1
Business,Entrepreneur,3.61,4,1,1,0,0,1,4,10,1,3,3,0,4,0
Education,Curriculum Developer,2.08,1,1,3,1,7,1,2,2,3,1,2,2,1,0
Medicine,Nurse,3.8261121297727363,4,1,3,0,1,0,2,3,2,3,2,4,1,0
Finance,Financial Analyst,3.75,8,1,1,1,9,0,4,2,0,3,10,0,3,0
Music,Music Teacher,2.88,7,0,0,0,8,0,4,0,3,3,3,2,4,0
Biology,Zoologist,3.93,4,0,1,0,4,1,1,2,4,1,2,1,4,0
Engineering,Civil Engineer,3.65,3,2,3,0,6,0,4,1,10,0,7,4,3,0
Biology,Zoologist,3.67,3,2,3,1,3,1,3,0,0,3,0,3,2,0
Psychology,Music Therapist,3.98,3,0,3,0,4,0,3,0,2,3,3,1,0,0
Medicine,Physician Assistant,3.9457400078117533,3,2,3,1,4,0,1,3,2,3,3,3,4,1
Marketing,Social Media Manager,3.75,4,0,0,0,0,1,4,7,1,2,1,3,4,0
Finance,Financial Controller,2.8,7,1,3,1,8,0,2,3,4,0,10,2,1,1
Marketing,Marketing Specialist,2.85,9,0,2,1,9,1,0,8,2,4,0,0,4,0
Psychology,Industrial-Organizational Psychologist,3.03,6,0,2,0,1,1,2,2,2,0,0,1,4,0
Law,Judge,2.13,6,1,4,0,1,0,2,10,0,2,1,0,0,0
Law,Legal Consultant,2.77,8,2,0,0,2,0,0,7,1,4,3,0,0,0
Psychology,School Counselor,2.71,6,0,0,1,7,0,3,0,0,1,0,0,0,0
Marketing,Advertising Manager,3.58,9,2,2,0,6,1,1,7,1,1,2,2,2,0
Biology,Biologist,3.66,5,0,4,0,7,0,4,1,2,3,1,4,1,0
Law,Judge,2.63,1,2,3,0,0,0,0,10,3,2,4,3,0,1
Physics,Astronomer,3.24,6,0,4,1,8,0,1,4,0,0,1,3,4,1
Computer Science,Data Scientist,3.19,2,2,3,0,5,0,10,4,0,0,4,3,4,1
Computer Science,Game Developer,3.36,3,2,3,0,9,0,10,4,0,2,1,1,0,0
Biology,Biologist,3.05,2,2,3,1,1,1,3,0,2,3,0,4,1,0
Psychology,Music Therapist,3.01,1,1,4,1,3,0,3,1,4,2,2,4,2,1
Medicine,Surgeon,3.503832016324613,7,2,3,0,4,0,3,4,3,1,4,2,2,0
Music,Composer,3.41,8,2,3,1,6,0,2,1,3,1,0,1,2,0
Business,Construction Manager,3.15,0,0,4,0,2,1,2,7,1,1,2,0,3,0
Engineering,Mechanical Engineer,2.54,0,1,3,1,9,0,0,4,7,2,9,3,0,0
Computer Science,Game Developer,2.67,9,0,0,0,0,1,7,0,2,4,3,3,0,0
Architecture,Urban Planner,3.38,4,2,0,1,2,1,2,4,1,1,4,2,1,1
Business,Human Resources Specialist,3.57,6,2,1,0,5,1,2,8,2,4,2,2,1,1
Finance,Financial Advisor,2.47,9,2,0,1,3,0,3,2,4,1,7,2,4,1
Engineering,Civil Engineer,3.57,9,1,4,1,3,1,1,0,7,3,10,2,0,0
Law,Lawyer,2.25,5,1,1,1,7,0,4,7,3,0,4,2,4,1
Education,Teacher,3.96,0,0,1,0,7,0,3,2,1,3,3,4,2,0
Chemistry,Physical Chemist,3.84,2,0,3,1,5,1,2,2,0,4,3,3,0,0
Music,Composer,3.37,7,0,3,0,4,1,0,4,4,4,0,3,2,0
Engineering,Biomedical Engineer,3.94,8,1,0,0,8,1,3,3,7,4,9,4,2,0
Architecture,Architectural Technologist,3.2,4,0,1,1,4,1,3,3,1,0,2,3,4,1
Law,Judge,3.79,1,0,3,0,9,1,2,8,3,4,3,0,4,0
Music,Composer,2.91,7,1,3,1,4,0,4,4,1,1,1,4,1,1
Physics,Physicist,3.41,5,1,4,1,7,1,4,3,1,1,2,4,0,1
Psychology,Psychologist,2.38,6,1,2,1,2,1,2,2,0,2,0,2,4,0
Art,Illustrator,2.64,0,0,5,0,0,1,3,4,2,2,2,3,1,1
Engineering,Chemical Engineer,2.04,4,2,2,0,4,0,0,4,10,4,10,4,2,0
Physics,Physicist,3.89,7,1,3,0,1,0,2,0,0,4,1,3,0,1
Physics,Physicist,3.26,4,0,3,0,2,0,3,3,1,4,1,1,1,0
Music,Sound Engineer,3.23,8,2,2,1,1,1,2,2,4,1,4,3,2,0
Engineering,Acoustics Specialist,2.16,8,1,1,0,3,1,4,3,7,2,10,2,0,0
Education,Curriculum Developer,2.65,9,0,4,1,1,1,1,2,2,3,2,2,2,1
Music,Music Teacher,2.93,8,2,4,0,6,1,4,4,0,3,0,2,1,0
Marketing,Social Media Manager,3.83,3,1,4,0,8,0,0,7,2,2,0,3,0,0
Law,Lawyer,3.31,5,0,2,1,9,0,2,9,3,0,3,1,4,0
Architecture,Architectural Technologist,3.15,9,0,3,1,9,0,1,1,4,0,2,1,0,0
Physics,Nuclear Physicist,3.63,9,1,4,1,2,0,2,2,1,2,4,4,4,1
Business,Human Resources Specialist,3.44,0,0,2,0,4,0,3,7,2,2,4,1,3,1
Architecture,Landscape Architect,2.72,3,1,0,1,1,1,2,0,4,2,3,4,1,1
Marketing,Social Media Manager,3.26,0,0,0,0,5,1,4,8,3,1,4,4,0,1
Finance,Financial Analyst,3.18,6,2,2,0,4,1,0,2,0,2,10,3,4,0
Law,Legal Secretary,3.57,4,2,1,1,0,1,3,7,3,2,3,0,1,0
Education,Special Education Teacher,3.01,7,2,2,1,9,0,4,3,1,1,2,2,4,1
Biology,Microbiologist,3.98,2,2,0,1,1,0,3,4,0,2,1,4,4,0
Engineering,Acoustics Specialist,2.38,6,0,4,1,3,1,4,0,9,0,9,4,1,0
Art,Illustrator,2.94,5,1,3,0,9,0,3,1,0,0,1,3,1,1
Art,Art Director,2.57,9,0,4,0,6,0,3,2,3,1,4,4,4,0
Engineering,Electrical Engineer,3.49,3,0,0,1,5,1,1,0,7,2,9,0,3,1
